counterId,opponentTeam,counterTeam,isHardCounter,battleType,description,video
CLONES_SHAAKTI-v-GEONOSIANS,CLONES_SHAAKTI,GEONOSIANS,FALSE,5v5,"Keep CT-7567 ""Rex"" and Shaak Ti ability blocked with Poggle the Lesser, and dispel retribution with Sun Fac.  Kill order is: CT-5555 ""Fives"", Shaak Ti, then CT-21-0408 ""Echo"".",
CLONES_SHAAKTI-v-NEST_SOLO,CLONES_SHAAKTI,NEST_SOLO,FALSE,5v5,,
CLONES_SHAAKTI_3v3-v-GALACTIC_REPUBLIC_3v3,CLONES_SHAAKTI_3v3,GALACTIC_REPUBLIC_3v3,TRUE,3v3,"Try to keep CT-7567 ""Rex"" stunned, if possible, to reduce his chance to add tenacity or one-shot a character with Aerial Advantage.",
CLONES_SHAAKTI_3v3-v-GALACTIC_REPUBLIC_3v3_PADMEANAKINAHSOKA,CLONES_SHAAKTI_3v3,GALACTIC_REPUBLIC_3v3_PADMEANAKINAHSOKA,TRUE,3v3,"Try to keep CT-7567 ""Rex"" stunned, if possible, to reduce his chance to add tenacity or one-shot a character with Aerial Advantage.",
EP-v-CLONES_SHAAKTI,EP,CLONES_SHAAKTI,TRUE,5v5,"Use CT-7567 ""Rex""'s Tenacity Up ability as soon as possible to prevent the EP turn meter train from starting.  Use Shaak Ti's Assault Team to mass assist on Grand Admiral Thrawn (if available), then either Emperor Palpatine or Grand Moff Tarkin.  Use CT-5555 ""Fives""'s assist ability, calling either CT-21-0408 ""Echo"" or Rex.  Use Echo's EMP Grenade AoE.  Use Clone Sergeant - Phase I's Suppressive Fire AoE.  At this point, Palpatine and Tarkin should be taken out.  Focus on either TIE Fighter Pilot or Darth Vader next, but be careful not to lower Imperial Probe Droid below 100% health, or he'll use his self destruction AoE.",
EP-v-JEDI_BASTILA,EP,JEDI_BASTILA,TRUE,5v5,"Bastila Shan's leadership ability provides enough tenacity to stop Emperor Palpatine's leadership ability giving them tons of turn meters based on debuffs.  If you don't have Bastila Shan, your next best option would be a Grand Master Yoda lead (if leadership is zeta'd) for a soft counter.",
EP-v-REBELS_CLS,EP,REBELS_CLS,TRUE,5v5,,
EP-v-BH_JANGO,EP,BH_JANGO,TRUE,5v5,,
EP-v-JTR,EP,JTR,FALSE,5v5,"You need to outspeed them to win.  Amilyn Holdo is highly recommended for the AoE daze.  You want your BB-8 to go before their Darth Vader, otherwise you'll end up relying on RNG for a win.",
EP-v-NS_MT,EP,NS_MT,FALSE,5v5,,
EP-v-IT,EP,IT,FALSE,5v5,"Do not use Imperial Troopers if they have an auto-taunter like Sith Empire Trooper or Shoretrooper. Your General Starck must outspeed their Darth Vader.  If you can get a kill before they start their debuff-based turn meter train rolling, you'll outspeed them.",
EP-v-BH_BOSSK,EP,BH_BOSSK,FALSE,5v5,,
EP-v-REX,EP,REX,FALSE,5v5,"You want to use Rex's tenacity up as early as possible to stop Emperor Palpatine's debuff-based leadership ability from feeding their team tons of turn meter.  Having Chewbacca + Han Solo can help if Chewie's Loyal Friend is on Rex, which will make him immune to stun/daze.  You could sub in Jyn Erso if she has a zeta on Fierce Determination (immune to stun), then on her turn grant Rex 100% turn meter to use his tenacity up.  If using Mother Talzin, only inflict Plague on team after you have Rex's tenacity up on your team; otherwise, their debuffs on you can heal them to full health which will remove Plague.",
EP_3v3-v-JEDI_BASTILA_3v3,EP_3v3,JEDI_BASTILA_3v3,TRUE,3v3,,
EP_3v3-v-REX_3v3,EP_3v3,REX_3v3,TRUE,3v3,,
EP_3v3-v-REX_WAMPA,EP_3v3,REX_WAMPA,TRUE,3v3,,
EP_3v3-v-JTR_DROIDS,EP_3v3,JTR_DROIDS,FALSE,3v3,,
EP_MALAK_3v3-v-SITH_EMPIRE_3v3_WO_MALAK,EP_MALAK_3v3,SITH_EMPIRE_3v3_WO_MALAK,FALSE,3v3,,
EWOKS-v-SITH_TRI,EWOKS,SITH_TRI,TRUE,5v5,"Darth Traya's leadership ability will make the Ewoks kill themselves due to the high number of assists.  Use Traya's Isolate on Ewok Elder to prevent Stealth or the mass Cleanse.  Darth Sion's mass debuff will help keep the taunt off of Paploo.  If they are even-powered or under, consider leaving Nihilus out to use in another team.",
EWOKS-v-NEST_SOLO,EWOKS,NEST_SOLO,TRUE,5v5,"Useful dispel, and Ewoks don't have enough damage to kill her.  Can use a Luke Skywalker (Farmboy) lead for extra tenacity or CT-7567 ""Rex""s lead for extra health and turn meter when taking crit hits.  Can add Hermit Yoda for 25% offense, defence, tenacity, and potency.",
EWOKS-v-GALACTIC_REPUBLIC,EWOKS,GALACTIC_REPUBLIC,TRUE,5v5,"This is a very effective counter, but only use if you don't have a better use of your Galactic Republic team.  The Ewoks' high assist rate will easily feed Courage to your team so that you can one-shot kill them.",https://youtu.be/7eW5uY-mlVI
EWOKS-v-FO_KRU,EWOKS,FO_KRU,TRUE,5v5,,
EWOKS-v-IT,EWOKS,IT,TRUE,5v5,,
EWOKS-v-EP,EWOKS,EP,TRUE,5v5,,
EWOKS-v-BH_BOSSK,EWOKS,BH_BOSSK,TRUE,5v5,Ewoks lack the damage to hurt Bossk badly.  Use Boba Fett's Execute to kill (which also prevents revive!).  Thermal detonators will help the fight.,
EWOKS-v-NS_MT,EWOKS,NS_MT,TRUE,5v5,Put Plague on the Ewoks and as they gain turn meter they will hurt themselves.  ,
EWOKS-v-BH_JANGO,EWOKS,BH_JANGO,TRUE,5v5,,
EWOKS-v-REX_WAMPA,EWOKS,REX_WAMPA,FALSE,5v5,"Chirrut Îmwe and Baze Malbus recommended (for tenacity up, dispel, and taunt).  A fifth needs to be a high damage attacker (e.g. Enfys Nest, Wampa, Mother Talzin, Darth Nihilus, Boba Fett, Jango Fett, or Darth Sion).",
EWOKS-v-WAMPA_SOLO,EWOKS,WAMPA_SOLO,FALSE,5v5,"Wampa will use counter attack and daze.  Can use Hermit Yoda for 25% offense, defense, tenacity, anc potency.",
EWOKS-v-GK,EWOKS,GK,FALSE,5v5,"Can sub out Wampa, Darth Nihilus, or Mother Talzin for another high damage character like Enfys Nest, Boba Fett, Jango Fett, or Darth Sion",
EWOKS-v-SITH_MAUL,EWOKS,SITH_MAUL,FALSE,5v5,"Darth Maul and Savage Opress's zetas are needed to make this much easier, as Savage's zeta is tanky and takes away the dazes.",
EWOKS-v-ZADER,EWOKS,ZADER,FALSE,5v5,"Put damage on turn on the Ewoks, then watch them gain TM and kill themselves slowly.  Shoretrooper is highly recommended to ensure a win since he gives crit immunity to all and makes them take almost no damage.  Boba Fett's Execute can prevent revive and do huge damage against lots of buffs.",
EWOKS-v-SION_SOLO,EWOKS,SION_SOLO,FALSE,5v5,"Useful dispel, and Ewoks don't have enough damage to kill him.  Can use a Luke Skywalker (Farmboy) lead for extra tenacity or CT-7567 ""Rex""s lead for extra health and turn meter when taking crit hits. Can add Hermit Yoda for 25% offense, defence, tenacity, and potency.",
EWOKS_3v3-v-GALACTIC_REPUBLIC_3v3,EWOKS_3v3,GALACTIC_REPUBLIC_3v3,TRUE,3v3,,
EWOKS_3v3-v-NEST_SOLO,EWOKS_3v3,NEST_SOLO,TRUE,3v3,,
EWOKS_3v3-v-QIRA_NEST_HODA,EWOKS_3v3,QIRA_NEST_HODA,TRUE,3v3,,
EWOKS_3v3-v-REX_WAMPA,EWOKS_3v3,REX_WAMPA,TRUE,3v3,,
EWOKS_3v3-v-WAMPA_SOLO,EWOKS_3v3,WAMPA_SOLO,TRUE,3v3,,
EWOKS_3v3-v-GK_WAMPA_3v3,EWOKS_3v3,GK_WAMPA_3v3,TRUE,3v3,,
FO_KRU-v-GALACTIC_REPUBLIC,FO_KRU,GALACTIC_REPUBLIC,TRUE,5v5,,https://www.youtube.com/watch?v=zdoif0xIIqQ
FO_KRU-v-CLONES_SHAAKTI,FO_KRU,CLONES_SHAAKTI,TRUE,5v5,,
FO_KRU-v-GEONOSIANS,FO_KRU,GEONOSIANS,TRUE,5v5,,
FO_KRU-v-EWOKS,FO_KRU,EWOKS,TRUE,5v5,"With Logray, Wicket, and Scout, daze all with Logray.  Deal big damage attacking from stealth with Ewok Scout and Wicket since they aren't built on debuffs, but have turn meter gains, nice damage, and calls assists.",
FO_KRU-v-JTR,FO_KRU,JTR,TRUE,5v5,,
FO_KRU-v-REBELS_CLS,FO_KRU,REBELS_CLS,TRUE,5v5,"Stun Enfys Nest (if present), kill Kylo Ren (Unmasked), kill the other, hit Enfys Nest after each of her turns.  Another option is to add Wampa.  DON'T USE C-3PO, he only brings heals to the Kylos with his exposes and debuffs.",
FO_KRU-v-SEP_DROIDS,FO_KRU,SEP_DROIDS,TRUE,5v5,,
FO_KRU-v-NS_MT,FO_KRU,NS_MT,FALSE,5v5,,
FO_KRU-v-IT,FO_KRU,IT,FALSE,5v5,,
FO_KRU-v-REX_WAMPA,FO_KRU,REX_WAMPA,FALSE,5v5,"Can use three Geonosians as additions to this team.  Sun Fac can taunt to soak up some damage, Geonosian Spy can one-shot characters, there is a lot of turn meter gain under Rex lead, and Wampa will pick them apart with daze.  ",
FO_KRU-v-REBELS_DANGER_ZONE,FO_KRU,REBELS_DANGER_ZONE,FALSE,5v5,Requires Gear 11+ with lots of assists and strong damage.  Don't even try without Han Solo + Chewbacca against a high tier First Order team.,
FO_KRU-v-PHOENIX,FO_KRU,PHOENIX,FALSE,5v5,"Garazeb ""Zeb"" Orrelios' zeta recommended.  Most of the damage will come from this team's counter attacks and using Sabine Wren's Armor Shred on Kylo Ren and Kylo Ren (Unmasked).  Zeb's zeta will crush a zeta'd Kylo Ren from all of the buffs and debuffs.",
FO_KRU_3v3-v-EWOKS_3v3,FO_KRU_3v3,EWOKS_3v3,FALSE,3v3,,
FO_KRU_3v3-v-JTR_DROIDS_3v3,FO_KRU_3v3,JTR_DROIDS_3v3,FALSE,3v3,"Focus on First Order Executioner first, then Kylo Ren (Unmasked), then Kylo Ren.  Use Rey (Jedi Training)'s Mind Trick on KRU when he taunts to continue focusing on FOEX.  Use R2-D2's Smoke Screen on BB-8 so he prompts an ally assist when attacked.  ",
GALACTIC_REPUBLIC-v-SITH_TRI,GALACTIC_REPUBLIC,SITH_TRI,TRUE,5v5,"You'll control the battle with Darth Traya's Isolate and Grand Admiral Thrawn's Fracture, then kill everyone with Darth Nihilus' Annihilate.  Isolate and Fracture Padmé first.  After she's dead, do the same on General Kenobi to stop his taunts.  Then whoever else you want after that.",
GALACTIC_REPUBLIC-v-SEP_DROIDS,GALACTIC_REPUBLIC,SEP_DROIDS,TRUE,5v5,"You want General Grievous' Metalloid Monstrosity zeta.  B2 Super Battle Droid controls and stalls with buff immunity, and when allies start dying General Grievous gets extra turns.  Ideally use GG's AoEs after enemy team is dispelled by B2 and have buff immunity.",
GALACTIC_REPUBLIC-v-EP,GALACTIC_REPUBLIC,EP,FALSE,5v5,"Not recommened if they have C-3PO.  Highly recommended to have Imperial Probe Droid's zeta for buff immunities and TIE Fighter Pilot modded for high potency.  You want Darth Vader to be fast enough to go first and start the turn meter train.  You could possibly add Grand Admiral Thrawn to fracture Padmé, but it's not required if you are confident you can control them with stuns, buff immunities, and keep your turn meter rolling.",
GALACTIC_REPUBLIC-v-SITH_EMPIRE_W_MALAK,GALACTIC_REPUBLIC,SITH_EMPIRE_W_MALAK,FALSE,5v5,,
GALACTIC_REPUBLIC-v-NEST_SOLO,GALACTIC_REPUBLIC,NEST_SOLO,FALSE,5v5,"Only top-modded Enfys Nest is viable.  Highly recommended to have a Qi'ra lead (for protection regeneration) and Hermit Yoda (for the Master's Training buffs).  She'll survive the hits and recover protection through counters.  The counters won't hurt Padmé, but Enfys Nest will eventually stack so much crit damage that she'll kill them in her turn (unlike with other teams where Nest kills them on the counter attack).  High tenacity is a must because getting stunned stops the strategy.",
GALACTIC_REPUBLIC_3v3-v-SITH_EMPIRE_3v3_WO_MALAK,GALACTIC_REPUBLIC_3v3,SITH_EMPIRE_3v3_WO_MALAK,TRUE,3v3,,
GALACTIC_REPUBLIC_3v3-v-EP_3v3_BSFSET,GALACTIC_REPUBLIC_3v3,EP_3v3_BSFSET,TRUE,3v3,"Emperor Palpatine keeps them stunned, Bastila Shan (Fallen) keeps debuffs on them, and Sith Empire Trooper soaks up any damage whenever an enemy isn't stunned.",
GALACTIC_REPUBLIC_3v3_PADMEANAKINAHSOKA-v-EP_3v3_BSFSET,GALACTIC_REPUBLIC_3v3_PADMEANAKINAHSOKA,EP_3v3_BSFSET,TRUE,3v3,"Emperor Palpatine keeps them stunned, Bastila Shan (Fallen) keeps debuffs on them, and Sith Empire Trooper soaks up any damage whenever an enemy isn't stunned.",
GALACTIC_REPUBLIC_3v3_PADMEANAKINAHSOKA-v-BH_BOSSK_3v3_BOBACAD,GALACTIC_REPUBLIC_3v3_PADMEANAKINAHSOKA,BH_BOSSK_3v3_BOBACAD,TRUE,3v3,,
GEONOSIANS-v-SITH_TRI,GEONOSIANS,SITH_TRI,TRUE,5v5,"Darth Traya leader ability will make them kill themselves, so let them get their assists in and kill them when they are low enough to kill.  It helps if Darth Sion and Darth Traya have tanky mod builds.  Can bring a Shoretrooper to slow them down with crit immunity for short time and another target to attack.",https://www.youtube.com/watch?v=padGqYGVRoI&t=327s
GEONOSIANS-v-SEP_DROIDS,GEONOSIANS,SEP_DROIDS,TRUE,5v5,,https://www.youtube.com/watch?v=padGqYGVRoI&t=327s
GEONOSIANS-v-DROIDS_ANTI_MALAK,GEONOSIANS,DROIDS_ANTI_MALAK,TRUE,5v5,,https://www.youtube.com/watch?v=padGqYGVRoI&t=327s
GEONOSIANS-v-EP,GEONOSIANS,EP,FALSE,5v5,"Substitute your tanks for characters with daze or debuff (e.g. Wampa, Darth Maul).  You want a speed advantage (you need Vader to go first and feed turn meter to all), high potency (Geonosian Brood Alpha has high tenacity), and daze to shut down their assists.",
GEONOSIANS-v-JAWAS,GEONOSIANS,JAWAS,FALSE,5v5,"Jawa Scavenger's Line in the Sand ability is the main mechanic of this counter.  Mod your Jawas for survivability (e.g. Protection, Health, Crit Avoidance).  You want the Jawas to be slow and tanky and you want Jawa Scavenger stay alive as long as possible, since his unique ability has a 50% chance of placing a thermal detonator on an attacker.  This is very detrimental to the Geonosians since their strategy is based around assists.  Don't use Jawa's AoE stun attack, because this would prevent the stunned Geos from attacking you and picking up more thermal detonators.",
GEONOSIANS-v-GALACTIC_REPUBLIC,GEONOSIANS,GALACTIC_REPUBLIC,FALSE,5v5,"Their attacks give you more damage.  Have a few slow characters that can build up Courage then one-shot (Clone Wars Chewbacca, Barriss).  Shouldn't be too much of a problem if you have a high gear zzPadmé team.",https://www.youtube.com/watch?v=padGqYGVRoI&t=327s
GEONOSIANS-v-NS_MT,GEONOSIANS,NS_MT,FALSE,5v5,"This is a tough fight, which has a high chance of timing out.  You want both zetas on Mother Talzin and Asajj's Rampage zeta.  You need the revive and potency from Mother Talzin's lead.  You'll die a lot, but you can chip away at their HP until you build enough damage to get kills.  Plague doesn't stick often, but keep trying since it will help you drain their HP.  Consider subbing in Enfys Nest.",https://www.youtube.com/watch?v=padGqYGVRoI&t=327s
GEONOSIANS-v-SEP_NUTE,GEONOSIANS,SEP_NUTE,FALSE,5v5,"Nute Gunray's Extortion works well against this team if you have Count Dooku stunning and shocking the Geonosians.  They won't be able to gain buffs and will keep spreading extortion, which will gradually increase your power against them.",https://www.youtube.com/watch?v=padGqYGVRoI&t=327s
GEONOSIANS-v-JEDI_REVAN,GEONOSIANS,JEDI_REVAN,FALSE,5v5,"Exercise caution with this matchup!  The Geonosian rework has made this a very unreliable counter since the Geos can easily remove all of the buffs that this team needs to function correctly.  Use Jedi Knight Revan's Direct Focus to focus all initial attacks on Geonosian Brood Alpha.  This will stop major healing and buffs and the summoned taunter.  After GBA is killed, focus on Geonosian Spy next to avoid his one-shot kill.  Call Grand Master Yoda for as many assists as possible so he can gain turn meter and spread buffs and foresight to the rest of the team.",https://www.youtube.com/watch?v=padGqYGVRoI&t=327s
GEONOSIANS_3v3-v-SITH_EMPIRE_3v3_WO_MALAK,GEONOSIANS_3v3,SITH_EMPIRE_3v3_WO_MALAK,TRUE,3v3,,
GEONOSIANS_3v3-v-SITH_TRI_3v3,GEONOSIANS_3v3,SITH_TRI_3v3,TRUE,3v3,,
GEONOSIANS_3v3-v-FO_HUX_3v3,GEONOSIANS_3v3,FO_HUX_3v3,TRUE,3v3,,
GEONOSIANS_3v3-v-JAWAS_3v3,GEONOSIANS_3v3,JAWAS_3v3,TRUE,3v3,"With a G11 Jawa team, you should be able to win on auto.  The Geonosian's multi attacks will make them kill themselves by adding so many thermal detonators.  You just want to make sure your Jawas can stay alive long enough for it to happen.",
GEONOSIANS_3v3-v-VADER_3v3_GEOKILL,GEONOSIANS_3v3,VADER_3v3_GEOKILL,TRUE,3v3,,
GEONOSIANS_3v3-v-GALACTIC_REPUBLIC_3v3,GEONOSIANS_3v3,GALACTIC_REPUBLIC_3v3,FALSE,3v3,,
GEONOSIANS_3v3_POGGLEGS-v-JEDI_REVAN_3v3_AHSOKASHAAKTI,GEONOSIANS_3v3_POGGLEGS,JEDI_REVAN_3v3_AHSOKASHAAKTI,FALSE,3v3,Take Poggle the Lesser out as fast as possible and keep Shaak Ti alive.,
GK-v-REX_WAMPA,GK,REX_WAMPA,FALSE,5v5,"Use Darth Nihilus' Annihilate on Barriss Offee, the rest should be easy.  You could also bring in Imperial Probe Droid to do the job.",
GK-v-WAMPA_SOLO,GK,WAMPA_SOLO,FALSE,5v5,You need good timing on the hits.  Boba Fett and Wampa can deal big damage and even kill a full HP General Kenobi.,
GK-v-ZADER,GK,ZADER,FALSE,5v5,Stacking dots and dealing big damage at once.,
GK_ZARRISS_3v3-v-VADER_3v3,GK_ZARRISS_3v3,VADER_3v3,FALSE,3v3,,
GK_ZARRISS_3v3-v-JTR_DROIDS_3v3,GK_ZARRISS_3v3,JTR_DROIDS_3v3,FALSE,3v3,,
IT-v-CLONES_SHAAKTI,IT,CLONES_SHAAKTI,TRUE,5v5,,https://www.youtube.com/watch?v=QhwRfO6Wjl0&t=255s
IT-v-JTR,IT,JTR,TRUE,5v5,,
IT-v-REBELS_CLS_CHAZE,IT,REBELS_CLS_CHAZE,TRUE,5v5,"Let the troopers kill themselves from counterattacks.  If you don't have Chaze (Chirrut Îmwe + Baze Malbus), you'll want taunting tanks that can slow the enemy down, like Obi-Wan Kenobi (Old Ben).",
IT-v-GALACTIC_REPUBLIC,IT,GALACTIC_REPUBLIC,TRUE,5v5,,
IT-v-SITH_TRI,IT,SITH_TRI,TRUE,5v5,,
IT-v-REX_WAMPA,IT,REX_WAMPA,FALSE,5v5,"Swap Wampa, Mother Talzin, or Darth Nihilus for a tank and let the other two do the work.",
IT-v-SITH_MAUL,IT,SITH_MAUL,FALSE,5v5,,
IT-v-NEST_SOLO,IT,NEST_SOLO,FALSE,5v5,,
IT-v-IT,IT,IT,FALSE,5v5,"Do this mirror match when you feel you have the upper hand on getting the first kill (turn meter will be on your side).  Concentrate on one toon (not Shoretrooper), and if you get the first kill, you'll win.",
JEDI_BASTILA-v-CLONES_SHAAKTI,JEDI_BASTILA,CLONES_SHAAKTI,TRUE,5v5,,https://www.youtube.com/watch?v=QhwRfO6Wjl0&t=255s
JEDI_BASTILA-v-GEONOSIANS,JEDI_BASTILA,GEONOSIANS,TRUE,5v5,,https://www.youtube.com/watch?v=padGqYGVRoI&t=327s
JEDI_BASTILA-v-JTR,JEDI_BASTILA,JTR,TRUE,5v5,"Having a tank helps (Hold/L3-37).  Work slowly towards killing them all using crits, as exposes can't be resisted.",
JEDI_BASTILA-v-SITH_TRI,JEDI_BASTILA,SITH_TRI,TRUE,5v5,,
JEDI_BASTILA-v-QIRA_NEST_HODA,JEDI_BASTILA,QIRA_NEST_HODA,TRUE,5v5,"These three characters should be enough to win against most Bastila Shan teams.  Enfys Nest counter-attacks, ignores taunts, and recovers protection under Qi'ra lead.  Hermit Yoda will heal, grant foresight, bonus 25% offense, and tenacity (which is crucial).",
JEDI_BASTILA-v-NEST_SOLO,JEDI_BASTILA,NEST_SOLO,TRUE,5v5,,
JEDI_BASTILA-v-NS_MT_NA,JEDI_BASTILA,NS_MT_NA,FALSE,5v5,Mother Talzin Leadership zeta recommended.  Mother Talzin's Plague will slowly eat through the team while Nightsister Zombie soaks up damage and Nightsister Acolyte constantly attacks while stealthed.,
JEDI_BASTILA-v-BH_BOSSK,JEDI_BASTILA,BH_BOSSK,FALSE,5v5,Soak up damage with Bossk's taunt.  Use Boba Fett's Execute on Grand Master Yoda to stop the buff train.,
JEDI_BASTILA-v-REBELS_CLS,JEDI_BASTILA,REBELS_CLS,FALSE,5v5,,
JEDI_BASTILA-v-FO_KRU,JEDI_BASTILA,FO_KRU,FALSE,5v5,Soak up damage with taunts from Kylo Ren (Unmasked) and First Order Stormtrooper.  Use Kylo Ren (Unmasked) stun on Grand Master Yoda to stop the buffs and slow him down.,
