id,name,type,leaderName,toon2Name,toon3Name,toon4Name,toon5Name,subs,description,counterStrategy,leaderReq,toon2Req,toon3Req,toon4Req,toon5Req,offensiveCounterNum,defensiveCounterNum,stratNeeded
GALACTIC_REPUBLIC_C3PO,Galactic Republic (w/ C-3PO),offense,Padmé Amidala,Jedi Knight Anakin,Ahsoka Tano,General Kenobi,C-3PO,"(no subs, this team comp is used for a specific purpose)",,,TRUE,TRUE,TRUE,TRUE,TRUE,2,0,FALSE
GK,General Kenobi L,both,General Kenobi,Barriss Offee,Wampa,Darth Nihilus,Mother Talzin,,,,TRUE,TRUE,,,,3,3,TRUE
GK_ZARRISS_3v3,General Kenobi L (w/ Barriss Offee),both,General Kenobi,Barriss Offee,"CT-5555 ""Fives""",,,"CT-5555 ""Fives"" can be subbed for another damage dealer",,,TRUE,TRUE,,,,,,
GK_WAMPA_3v3,General Kenobi L (w/ Wampa),offense,General Kenobi,Barriss Offee,Wampa,,,Enfys Nest for Wampa,,,TRUE,TRUE,TRUE,,,,,
GEONOSIANS,Geonosians,defense,Geonosian Brood Alpha,Sun Fac,Geonosian Soldier,Geonosian Spy,Poggle the Lesser,"(no subs, this team comp is used for a specific purpose)",,"Kill order: Geonosian Brood Alpha, Geonosian Spy, Geonosian Soldier/Poggle the Lesser, Sun Fac.",TRUE,TRUE,TRUE,TRUE,TRUE,10,9,FALSE
GEONOSIANS_3v3,Geonosians,defense,Geonosian Brood Alpha,Geonosian Spy,Sun Fac,,,,,,TRUE,TRUE,TRUE,,,,,
GEONOSIANS_3v3_POGGLEGS,Geonosians (GBA L w/ Poggle and GS),defense,Geonosian Brood Alpha,Poggle the Lesser,Geonosian Soldier,,,,,,TRUE,TRUE,TRUE,,,,,
IG-88_HI,IG-88 (Healing Immunity),offense,IG-88,Wampa,Cassian Andor,Boba Fett,Kylo Ren,,,,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
IT,Imperial Troopers,offense,General Veers,Colonel Starck,Range Trooper,Snowtrooper,Death Trooper,"Grand Admiral Thrawn, Stormtrooper, Shoretrooper","Fast, offensive team that's focused on getting a kill to gain massive turn meter.  Death Trooper's Deathmark makes sequential kills easier.  This team isn't effective against tankier squads or squads that require more than two dispels.","Don't let the turn meter train run or stop it with a tank, good healer, or daze.  Go after Snowtrooper first.  If Shoretrooper is present, bring a dispeller in.  Also counter toons can be effective due to lots of AoE attacks.  Kill order: General Veers/Colonel Starck, Snowtrooper/Death Trooper, Range Trooper.",TRUE,TRUE,TRUE,TRUE,,9,9,FALSE
IT_3v3,Imperial Troopers,both,General Veers,Colonel Starck,Range Trooper,,,,,,TRUE,TRUE,,,,,,
JAWAS,Jawas,offense,Chief Nebit,Jawa Engineer,Jawa Scavenger,Jawa,Dathcha,Droids,"High damage if using IG-86 or IG-88,  turn meter gain, crit chance/damage gain, and healing from Jawa Engineer.","Daze and AoE, having crit avoidance.  Kill Jawa Engineer first, then IG-88, then the rest.",TRUE,TRUE,TRUE,,,1,0,FALSE
JAWAS_3v3,Jawas,offense,Chief Nebit,Jawa Engineer,Jawa Scavenger,,,,,,TRUE,TRUE,TRUE,,,,,
JEDI_BASTILA_REVAN,Jedi (Bastila L w/ Revan),offense,Bastila Shan,Jedi Knight Revan,Jolee Bindo,Grand Master Yoda,General Kenobi,"Ezra Bridger, Any leftover Jedi",,,TRUE,TRUE,,,,1,0,FALSE
JEDI_BASTILA_REVAN_3v3,Jedi (Bastila L w/ Revan),offense,Bastila Shan,Jedi Knight Revan,Grand Master Yoda,,,,,,TRUE,TRUE,TRUE,,,,,
JEDI_BASTILA,Jedi (Bastila L),defense,Bastila Shan,Jolee Bindo,Grand Master Yoda,General Kenobi,Ezra Bridger,"Aayla Secura, Jedi Knight Anakin, Obi-Wan Kenobi (Old Ben), Any leftover Jedi","Buffs, high protection pool, and high tenacity.","Stop the spreading buffs by Grand Master Yoda. Taunt to soak up the damage while you working on removing the Jedi protection.  Need to have enough damage to finish in 5 mins, this team will require strong teams to beat.  Defensive leads that buy you time with passive healings are best options (Bossk, KRU, Traya).  Kill high damage characters first, like Ezra Bridger.",TRUE,,,,,10,11,FALSE
JEDI_BASTILA_3v3,Jedi (Bastila L),defense,Bastila Shan,Jolee Bindo,Grand Master Yoda,,,,,,TRUE,,,,,,,
JEDI_QGJ,Jedi (QGJ L),offense,Qui-Gon Jinn,Jedi Knight Anakin,Aayla Secura,Ezra Bridger,Hermit Yoda,Any leftover Jedi,,,TRUE,,,,,2,0,FALSE
JEDI_REVAN_3v3_AHSOKASHAAKTI,Jedi (Revan L w/ Ahsoka and Shaak Ti),offense,Jedi Knight Revan,Ahsoka Tano,Shaak Ti,,,,,,TRUE,TRUE,TRUE,,,,,
JEDI_REVAN_3v3_GMYJKA,Jedi (Revan L w/ JKA),offense,Jedi Knight Revan,Grand Master Yoda,Jedi Knight Anakin,,,Enfys Nest for Wampa,,,TRUE,TRUE,TRUE,,,,,
JEDI_REVAN,Jedi (Revan L),both,Jedi Knight Revan,Jolee Bindo,Grand Master Yoda,Bastila Shan,General Kenobi,"Ezra Bridger, Hermit Yoda, Obi-Wan Kenobi (Old Ben), Juhani, Plo Koon","Buffs, heals, protection regeneration, revive, and lot of damage.","Stop the revive and buffs [isolate/ healing immunity/ fracture], outburst their heals [Annihilate/ Plague/ crazy damage], have someone to soak up the damage [Nightsister Zombie, Nest, Sith Empire Trooper, Kylo Ren Unmasked].  Kill a low health enemy first, like Grand Master Yoda, to get rid of Revan's Savior ability, kill Jolee Bindo to stop the revives, kill Jedi Knight Revan, then kill the other two.",TRUE,TRUE,TRUE,,,5,8,FALSE
JEDI_REVAN_3v3,Jedi (Revan L),offense,Jedi Knight Revan,Jolee Bindo,Grand Master Yoda,,,,,,TRUE,TRUE,TRUE,,,,,
MAGMA,Magma,offense,Grand Admiral Thrawn,Magmatrooper,Death Trooper,Director Krennic,Grand Moff Tarkin,"Imperial Probe Droid, Stormtrooper, Shoretrooper",,,TRUE,TRUE,TRUE,,,2,0,FALSE
MAGMA_3v3,Magma,offense,Grand Admiral Thrawn,Magmatrooper,Death Trooper,,,,,,TRUE,TRUE,TRUE,,,,,
NS_ASAJJ_3v3_OLDDAKAZOMBIE,Nightsisters (Asajj L w/ Old Daka and Zombie),both,Asajj Ventress,Old Daka,Nightsister Zombie,,,,,,TRUE,TRUE,TRUE,,,,,
NS_ASAJJ,Nightsisters (Asajj L),both,Asajj Ventress,Mother Talzin,Old Daka,Nightsister Zombie,Nightsister Spirit,"Enfys Nest, Barriss Offee, Nightsister Acolyte, Hermit Yoda","Infinite revives potential with Nightsister Zombie, damage through protection, healing, and cleansing.","Avoid Nightsister Zombie's constant taunting [dispel / buff immunity] or work around it [strong AoEs].  Having healers or high health steal is effective.  You want to kill Old Daka 3 times (to stop the auto revives and her revives), kill Mother Talzin, then kill Asajj Ventress (because she's more powerful now due to the deaths).  If no Enfys Nest, then kill whichever 4th character is used, then finally Nightsister Zombie.  If 4th is Nightsister Acolyte, you definitely want a dispeller or you can easily get caught between her stealth and Nightsister Zombie's taunt.  If Enfys Nest, save her for last.",TRUE,TRUE,TRUE,TRUE,,0,0,FALSE
NS_ASAJJ_3v3,Nightsisters (Asajj L),defense,Asajj Ventress,Old Daka,Nightsister Spirit,,,,,,TRUE,,,,,,,
NS_MT_NA,Nightsisters (Talzin L w/ Acolyte),both,Mother Talzin,Asajj Ventress,Old Daka,Nightsister Zombie,Nightsister Acolyte,"(no subs, this team comp is used for a specific purpose)","Infinite revives potential with Nightsister Zombie, damage through protection, healing, and cleansing.","Avoid Nightsister Zombie's constant taunting [dispel / buff immunity] or work around it [strong AoEs].  Having healers or high health steal is effective.  You want to kill Old Daka 3 times (to stop the auto revives and her revives), kill Mother Talzin, kill Asajj Ventress (because she's more powerful now due to the deaths), dispel and kill Nightsister Acolyte to stop the stealth, then kill Nightsister Zombie.  If opponent has Enfys Nest, save her for last.",TRUE,TRUE,TRUE,TRUE,TRUE,2,0,FALSE
NS_MT,Nightsisters (Talzin L),both,Mother Talzin,Asajj Ventress,Old Daka,Nightsister Zombie,Nightsister Spirit,"Enfys Nest, Barriss Offee, Nightsister Acolyte, Hermit Yoda","Infinite revives potential with Nightsister Zombie, damage through protection, healing, and cleansing.","Avoid Nightsister Zombie's constant taunting [dispel / buff immunity] or work around it [strong AoEs].  Having healers or high health steal is effective.  You want to kill Old Daka 3 times (to stop the auto revives and her revives), kill Mother Talzin, then kill Asajj Ventress (because she's more powerful now due to the deaths).  If no Enfys Nest, then kill whichever 4th character is used, then finally Nightsister Zombie.  If 4th is Nightsister Acolyte, you definitely want a dispeller or you can easily get caught between her stealth and Nightsister Zombie's taunt.  If Enfys Nest, save her for last.",TRUE,TRUE,TRUE,TRUE,,10,15,FALSE
NS_MT_3v3,Nightsisters (Talzin L),defense,Mother Talzin,Nightsister Acolyte,Nightsister Zombie,,,,,,TRUE,,,,,,,
NS_NEST,Nightsisters (w/ Nest),both,Asajj Ventress,Mother Talzin,Old Daka,Nightsister Zombie,Enfys Nest,"(no subs, this team comp is used for a specific purpose)","Infinite revives potential with Nightsister Zombie, damage through protection, healing, and cleansing.","Avoid Nightsister Zombie's constant taunting [dispel / buff immunity] or work around it [strong AoEs].  Having healers or high health steal is effective.  You want to kill Old Daka 3 times (to stop the auto revives and her revives), kill Mother Talzin, kill Asajj Ventress (because she's more powerful now due to the deaths), kill 4th, then kill Enfys Nest last.",TRUE,TRUE,TRUE,TRUE,TRUE,0,10,FALSE
OLDBEN_WAMPA_3v3,Old Ben/Wampa,offense,Obi-Wan Kenobi (Old Ben),Wampa,Visas Marr,,,Enfys Nest for Wampa,,,TRUE,TRUE,,,,,,
OR_CARTH_3v3_MISSIONVAOZAALBAR,Old Republic (Carth L w/ Mission Vao and Zaalbar),both,Carth Onasi,Mission Vao,Zaalbar,,,,,"Kill order: Carth or Mission, then Zaalbar",TRUE,TRUE,TRUE,,,,,
OR_CARTH,Old Republic (Carth L),both,Carth Onasi,Canderous Ordo,Mission Vao,Zaalbar,Juhani,"Juhani, Wampa, Boba Fett, Darth Sidious, Chirrut Îmwe + Baze Malbus","Lot of damage over time and nice bonus synergy shared between each other [offense, tenacity, assists and defense/crit avoidance, protection recovery].","Stop the damage over time from spreading, dispel Zaalbar frequently from his taunt to focus on attackers/support first.  Can't rely on debuffs/have really high potency (Bastila Shan (Fallen) and Carth will have 80% tenacity, rest 30%).  Bypass the crit avoidance (Zaalbar+Mission have 55% Crit Avoidance, rest 30%).  Use their slow speed against them with turn meter gain, you should have speed advantage.  Kill order: Canderous Ordo, Carth Onasi or Mission Vao.",TRUE,TRUE,TRUE,TRUE,,0,15,FALSE
OR_CARTH_3v3,Old Republic (Carth L),defense,Carth Onasi,Canderous Ordo,Juhani,,,,,,TRUE,TRUE,TRUE,,,,,
PHOENIX,Phoenix,defense,Hera Syndulla,Kanan Jarrus,"Garazeb ""Zeb"" Orrelios",Sabine Wren,Ezra Bridger,Chopper,"High synergy team with a lot of counter attacking, dispelling (or loving the debuffs), and HP + protection recovery. Be careful with G12 zeta Phoenix, use equally geared zeta'd teams.",Avoid getting countered [daze or attacking from stealth/assists]. Deal good damage in a single turn that surpasses their heals (calling assist/simply high damage/high turn meter gain).  There's no point in debuffing because of Kanan's unique (besides Daze/Stun).  Focus on one character at a time to remove the unique ability they are sharing with the team.  Killing Chopper removes health/protection regeneration.  Killing Ezra removes stacking offense up.  Killing Sabine removes increased crit chance and crit damage.  Killing Kanan removes counter chance and health regen on debuff.  Killing Zeb removes protection regen.  Killing Hera removes turn meter gain on using special ability.,TRUE,TRUE,TRUE,,,3,9,FALSE
PHOENIX_3v3,Phoenix,defense,Hera Syndulla,Kanan Jarrus,Ezra Bridger,,,Chopper,,,TRUE,TRUE,TRUE,,,,,
QIRA_NEST_HODA,Qi'ra (w/ Nest and Hoda),offense,Qi'ra,Enfys Nest,Hermit Yoda,,,"(no subs, this team comp is used for a specific purpose)",,,TRUE,TRUE,TRUE,,,4,0,FALSE
QIRA_NEST_HODA_FULL,"Qi'ra (w/ Nest, Hoda, and others)",offense,Qi'ra,Vandor Chewbacca,Enfys Nest,L3-37,Hermit Yoda,,,,TRUE,TRUE,TRUE,TRUE,,1,0,FALSE
QIRA,Qi'ra L,defense,Qi'ra,Vandor Chewbacca,L3-37,Mission Vao,Zaalbar,"Enfys Nest, Young Han Solo, Han Solo + Chewbacca, Young Lando Calrissian, Cad Bane, Barriss Offee, Wat Tambor","Heals, revives, protection regeneration, and lot of taunts.  This is a very hard team to beat.","Requires dispelling, healing immunity, lot of turn meter gain, and AoE attackers.  Kill Vandor Chewbacca first and don't let him revive his allies.  Keep Zaalbar and L3-37 shutdown by dispelling them.  Kill order: Vandor Chewbacca, Qi'ra/Mission Vao/Young Han Solo/Young Lando Calrissian, L3-37, Enfys Nest, Zaalbar.",TRUE,TRUE,TRUE,,,0,12,FALSE
QIRA_NEST_3v3,Qi'ra L (w/ Nest),offense,Qi'ra,Enfys Nest,Hermit Yoda,,,First Order Officer or Visas Mar for Hermit Yoda,,,TRUE,,,,,,,
QIRA_3v3,Qi'ra L (w/o Nest),offense,Qi'ra,L3-37,Vandor Chewbacca,,,,,,TRUE,,,,,,,
REBELS_ACK_3v3,Rebels (Ackbar L),offense,Admiral Ackbar,C-3PO,Princess Leia,,,,,,TRUE,TRUE,TRUE,,,,,
REBELS_CLS_3v3_CHAZE,Rebels (CLS + Chaze),offense,Commander Luke Skywalker,Chirrut Îmwe,Baze Malbus,,,,,,TRUE,TRUE,TRUE,,,,,
REBELS_CLS,Rebels (CLS L),offense,Commander Luke Skywalker,Han Solo,Chewbacca,C-3PO,R2-D2,"Captain Han Solo, Ahsoka Tano (Fulcrum), Obi-Wan Kenobi (Old Ben), General Kenobi, Grand Admiral Thrawn","Double (Han+CLS): offensive team, high crits, high damage, high TM gain, and lot of counter attacks. Trio - addition of Chewbacca brings crit immunity and can't be stunned/daze for Han and another toon. Quartet - addition of C3PO brings this team to whole new level and lot of attackers will do 40% HP damage (expose+chewbacca' unique).","Double & Trio - go for anti-crit team/anti-rebel team, don't get countered - no AoEs, attack from stealth/assist/have taunting tank while attacking, that can survive some hits.  Kill order: Chewbacca, Han Solo, Commander Luke Skywalker.",TRUE,TRUE,TRUE,,,16,11,FALSE
REBELS_CLS_THRAWN,Rebels (CLS Quad w/ Thrawn),offense,Commander Luke Skywalker,Han Solo,Chewbacca,C-3PO,Grand Admiral Thrawn,"(no subs, this team comp is used for a specific purpose)",,,TRUE,TRUE,TRUE,TRUE,TRUE,2,0,FALSE
REBELS_CLS_CHAZE,Rebels (CLS Trio + Chaze),offense,Commander Luke Skywalker,Han Solo,Chewbacca,Chirrut Îmwe,Baze Malbus,"(no subs, this team comp is used for a specific purpose)",,,TRUE,TRUE,TRUE,TRUE,TRUE,2,0,FALSE
REBELS_CLS_3v3,Rebels (CLS Trio),offense,Commander Luke Skywalker,Han Solo,Chewbacca,,,,,,TRUE,TRUE,TRUE,,,,,
REBELS_DANGER_ZONE,Rebels (Danger Zone),offense,Wedge Antilles,Biggs Darklighter,Commander Luke Skywalker,Han Solo,Chewbacca,"Ahsoka Tano (Fulcrum), Ezra Bridger, C-3PO, Princess Leia",,,TRUE,TRUE,TRUE,,,2,0,FALSE
REBELS_WIGGS,Rebels (Wiggs),offense,Wedge Antilles,Biggs Darklighter,Ahsoka Tano (Fulcrum),Chirrut Îmwe,Baze Malbus,Any leftover Rebels (a Tank is highly recommended),,,TRUE,TRUE,,,,1,0,FALSE
REBELS_WIGGS_3v3,Rebels (Wiggs),offense,Wedge Antilles,Biggs Darklighter,Stormtrooper Han,,,,,,TRUE,TRUE,,,,,,
RESISTANCE_FINN_3v3,Resistance (Finn L),offense,Finn,R2-D2,Rey (Scavenger),,,,,,TRUE,TRUE,TRUE,,,,,
JTR_DROIDS,Resistance (JTR L w/ Droids),both,Rey (Jedi Training),BB-8,R2-D2,C-3PO,Resistance Trooper,"for Resistance Trooper - Chopper, IG-88, L3-37, T3-M4",,,TRUE,TRUE,TRUE,TRUE,,2,1,TRUE
JTR_DROIDS_3v3,Resistance (JTR L w/ Droids),offense,Rey (Jedi Training),BB-8,R2-D2,,,,,,TRUE,TRUE,TRUE,,,,,
JTR_HOLDO,Resistance (JTR L w/ Holdo),offense,Rey (Jedi Training),BB-8,R2-D2,C-3PO,Amilyn Holdo,"(no subs, this team comp is used for a specific purpose)",,,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
JTR,Resistance (JTR L),both,Rey (Jedi Training),BB-8,Rey (Scavenger),Finn,Resistance Trooper,"Chopper, R2-D2, C-3PO, L3-37, General Kenobi, Enfys Nest, Any leftover Resistance","Turn meter gain, high damage and assists from BB-8, annoying foresights and recoveries from Rey (Jedi Training).  Crit team built on exposes for the turn meter.","Stopping BB-8 and Rey (Jedi Training) is key. The damage is from crits and exposes, so crit avoidance works well and reduced damage from exposes as well.  Hard to daze them because of foresights, so need to stop the turn meter train in other ways (disabling BB-8, crit avoidance) or exploit the high amount of turns (Plague).  Kill order: BB-8/Resistance Trooper, Rey (Scavenger), Rey (Jedi Training).",TRUE,TRUE,,,,11,6,FALSE
REX_501,Rex 501st,offense,"CT-7567 ""Rex""",Ahsoka Tano,Clone Sergeant - Phase I,"CT-21-0408 ""Echo""","CT-5555 ""Fives""","(no subs, this team comp is used for a specific purpose)",,,TRUE,TRUE,TRUE,TRUE,TRUE,,,
REX,Rex L,offense,"CT-7567 ""Rex""",,,,,"Sith Triumvirate (Darth Traya, Darth Sion, Darth Nihilus), Grand Admiral Thrawn",,,TRUE,,,,,4,0,FALSE
REX_3v3,Rex L,both,"CT-7567 ""Rex""","CT-5555 ""Fives""","CT-21-0408 ""Echo""",,,,,,TRUE,,,,,1,1,TRUE
REX_WAMPA,Rex/Wampa,offense,"CT-7567 ""Rex""",Wampa,,,,"Baze Malbus + Chirrut Îmwe, R2-D2, Enfys Nest, Darth Nihilus, Mother Talzin, Han Solo + Chewbacca, General Kenobi, Barriss Offee, Visas Marr, Obi-Wan Kenobi (Old Ben), Sun Fac, First Order Officer",,,TRUE,TRUE,,,,16,0,FALSE
